ChangeEventID,RawAPN,CanonicalAPN,CommodityShortName,Year,PreviousQuantity,NewQuantity,Quantity_Delta,ChangeSource,Rationale,EvidenceURL,RecordedBy,RecordedAt,ReconciliationNote,LoadedAt
424,023-850-25,023-850-025,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
425,023-850-26,023-850-026,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
426,023-850-27,023-850-027,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
427,023-850-28,023-850-028,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
428,023-850-29,023-850-029,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
429,023-850-30,023-850-030,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
430,023-860-01,023-860-001,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Error - Parcel 023-372-006 includes 2 units. These should be zeroed out,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
432,023-860-03,023-860-003,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Error - Parcel 023-372-006 includes 2 units. These should be zeroed out,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
433,023-860-04,023-860-004,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Error - Parcel 023-372-006 includes 2 units. These should be zeroed out,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
434,023-860-05,023-860-005,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Error - Parcel 023-372-006 includes 2 units. These should be zeroed out,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
435,023-860-06,023-860-006,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Error - Parcel 023-372-006 includes 2 units. These should be zeroed out,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
436,023-860-07,023-860-007,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Error - Parcel 023-372-006 includes 2 units. These should be zeroed out,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
437,023-860-08,023-860-008,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Error - Parcel 023-372-006 includes 2 units. These should be zeroed out,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
