CSV_APN,FC_APN,Year,Match_Type,APN_Changed
1319-30-625-002,1319-30-625-000,2012,intersect,True
1319-30-626-003,1319-30-626-000,2012,intersect,True
123-294-02,123-071-34,2012,intersect,True
123-295-03,123-071-34,2012,intersect,True
1418-10-610-003,1418-10-510-001,2012,intersect,True
1318-23-315-002,1318-23-301-001,2012,intersect,True
1318-23-315-005,1318-23-301-001,2012,intersect,True
1318-23-315-006,1318-23-301-001,2012,intersect,True
1318-23-315-008,1318-23-301-001,2012,intersect,True
1318-23-315-011,1318-23-301-001,2012,intersect,True
1318-23-315-016,1318-23-301-001,2012,intersect,True
1318-23-315-019,1318-23-301-001,2012,intersect,True
1318-23-315-023,1318-23-301-001,2012,intersect,True
1318-23-315-027,1318-23-301-001,2012,intersect,True
1318-23-315-028,1318-23-301-001,2012,intersect,True
1318-23-315-030,1318-23-301-001,2012,intersect,True
1318-23-315-029,1318-23-301-001,2012,intersect,True
1318-23-315-032,1318-23-301-001,2012,intersect,True
1318-23-315-040,1318-23-301-001,2012,intersect,True
1318-23-315-042,1318-23-301-001,2012,intersect,True
1318-23-315-001,1318-23-301-001,2012,intersect,True
1318-23-315-012,1318-23-301-001,2012,intersect,True
1318-23-315-013,1318-23-301-001,2012,intersect,True
1318-23-315-018,1318-23-301-001,2012,intersect,True
1318-23-315-043,1318-23-301-001,2012,intersect,True
025-551-34,025-551-02,2012,intersect,True
016-091-65,016-091-50,2012,intersect,True
029-710-005,029-441-21,2012,intersect,True
029-710-003,029-441-21,2012,intersect,True
029-710-009,029-441-21,2012,intersect,True
028-340-002,028-011-19,2012,intersect,True
028-340-013,028-011-19,2012,intersect,True
028-340-003,028-011-19,2012,intersect,True
028-340-014,028-011-19,2012,intersect,True
028-340-005,028-011-19,2012,intersect,True
028-340-016,028-011-19,2012,intersect,True
028-340-007,028-011-19,2012,intersect,True
028-340-020,028-011-19,2012,intersect,True
028-340-021,028-011-19,2012,intersect,True
028-340-011,028-011-19,2012,intersect,True
098-360-002,098-210-031,2012,intersect,True
094-520-015,094-150-007,2012,intersect,True
117-150-048,117-150-040,2012,intersect,True
090-233-036,090-233-001,2012,intersect,True
1318-22-311-004,1318-22-002-002,2012,intersect,True
1318-22-311-008,1318-22-002-002,2012,intersect,True
1318-22-311-011,1318-22-002-002,2012,intersect,True
1318-22-311-014,1318-22-002-002,2012,intersect,True
1318-22-311-018,1318-22-002-002,2012,intersect,True
1318-22-311-019,1318-22-002-002,2012,intersect,True
1318-22-311-001,1318-22-002-002,2012,intersect,True
1318-22-312-021,1318-22-002-002,2012,intersect,True
