old_apn,new_apn,change_year,overlap_pct,change_type,is_primary,source
031-164-012,031-164-12,2021,,rename,1,ACCELA
031-164-013,031-164-13,2021,,rename,1,ACCELA
031-164-014,031-164-14,2021,,rename,1,ACCELA
031-164-015,031-164-15,2021,,rename,1,ACCELA
031-165-006,031-165-06,2021,,rename,1,ACCELA
031-164-016,031-164-16,2021,,rename,1,ACCELA
031-164-018,031-164-18,2021,,rename,1,ACCELA
031-164-019,031-164-19,2021,,rename,1,ACCELA
031-164-020,031-164-20,2021,,rename,1,ACCELA
031-165-001,031-165-01,2021,,rename,1,ACCELA
031-165-002,031-165-02,2021,,rename,1,ACCELA
031-165-003,031-165-03,2021,,rename,1,ACCELA
031-164-017,031-164-17,2021,,rename,1,ACCELA
031-166-007,031-166-07,2021,,rename,1,ACCELA
031-166-008,031-166-08,2021,,rename,1,ACCELA
031-166-009,031-166-09,2021,,rename,1,ACCELA
031-172-002,031-172-02,2021,,rename,1,ACCELA
031-172-003,031-172-03,2021,,rename,1,ACCELA
031-172-004,031-172-04,2021,,rename,1,ACCELA
031-172-005,031-172-05,2021,,rename,1,ACCELA
031-172-006,031-172-06,2021,,rename,1,ACCELA
031-172-007,031-172-07,2021,,rename,1,ACCELA
031-172-001,031-172-01,2021,,rename,1,ACCELA
031-172-008,031-172-08,2021,,rename,1,ACCELA
031-172-010,031-172-10,2021,,rename,1,ACCELA
031-172-011,031-172-11,2021,,rename,1,ACCELA
031-172-012,031-172-12,2021,,rename,1,ACCELA
031-173-001,031-173-01,2021,,rename,1,ACCELA
031-173-002,031-173-02,2021,,rename,1,ACCELA
031-173-003,031-173-03,2021,,rename,1,ACCELA
031-172-009,031-172-09,2021,,rename,1,ACCELA
031-171-012,031-171-12,2021,,rename,1,ACCELA
031-171-011,031-171-11,2021,,rename,1,ACCELA
031-171-010,031-171-10,2021,,rename,1,ACCELA
031-166-010,031-166-10,2021,,rename,1,ACCELA
031-166-011,031-166-11,2021,,rename,1,ACCELA
031-166-012,031-166-12,2021,,rename,1,ACCELA
031-166-013,031-166-13,2021,,rename,1,ACCELA
031-166-014,031-166-14,2021,,rename,1,ACCELA
031-166-015,031-166-15,2021,,rename,1,ACCELA
031-166-016,031-166-16,2021,,rename,1,ACCELA
031-166-017,031-166-17,2021,,rename,1,ACCELA
031-166-018,031-166-18,2021,,rename,1,ACCELA
031-166-019,031-166-19,2021,,rename,1,ACCELA
031-166-020,031-166-20,2021,,rename,1,ACCELA
031-171-001,031-171-01,2021,,rename,1,ACCELA
031-171-004,031-171-04,2021,,rename,1,ACCELA
031-171-007,031-171-07,2021,,rename,1,ACCELA
031-171-008,031-171-08,2021,,rename,1,ACCELA
031-173-005,031-173-05,2021,,rename,1,ACCELA
031-201-005,031-201-05,2021,,rename,1,ACCELA
031-184-007,031-184-07,2021,,rename,1,ACCELA
031-184-009,031-184-09,2021,,rename,1,ACCELA
031-194-004,031-194-04,2021,,rename,1,ACCELA
031-194-005,031-194-05,2021,,rename,1,ACCELA
031-194-006,031-194-06,2021,,rename,1,ACCELA
031-194-007,031-194-07,2021,,rename,1,ACCELA
031-194-008,031-194-08,2021,,rename,1,ACCELA
031-194-009,031-194-09,2021,,rename,1,ACCELA
031-194-002,031-194-02,2021,,rename,1,ACCELA
031-194-010,031-194-10,2021,,rename,1,ACCELA
031-194-012,031-194-12,2021,,rename,1,ACCELA
031-194-013,031-194-13,2021,,rename,1,ACCELA
031-194-014,031-194-14,2021,,rename,1,ACCELA
031-194-015,031-194-15,2021,,rename,1,ACCELA
031-194-016,031-194-16,2021,,rename,1,ACCELA
031-194-019,031-194-19,2021,,rename,1,ACCELA
031-194-011,031-194-11,2021,,rename,1,ACCELA
031-195-002,031-195-02,2021,,rename,1,ACCELA
031-193-021,031-193-21,2021,,rename,1,ACCELA
031-193-019,031-193-19,2021,,rename,1,ACCELA
031-193-001,031-193-01,2021,,rename,1,ACCELA
031-193-006,031-193-06,2021,,rename,1,ACCELA
031-193-007,031-193-07,2021,,rename,1,ACCELA
031-193-008,031-193-08,2021,,rename,1,ACCELA
031-193-009,031-193-09,2021,,rename,1,ACCELA
031-193-010,031-193-10,2021,,rename,1,ACCELA
031-193-020,031-193-20,2021,,rename,1,ACCELA
031-193-011,031-193-11,2021,,rename,1,ACCELA
031-193-013,031-193-13,2021,,rename,1,ACCELA
031-193-014,031-193-14,2021,,rename,1,ACCELA
031-193-015,031-193-15,2021,,rename,1,ACCELA
031-193-016,031-193-16,2021,,rename,1,ACCELA
031-193-017,031-193-17,2021,,rename,1,ACCELA
031-193-018,031-193-18,2021,,rename,1,ACCELA
031-193-012,031-193-12,2021,,rename,1,ACCELA
031-195-003,031-195-03,2021,,rename,1,ACCELA
031-195-004,031-195-04,2021,,rename,1,ACCELA
031-195-005,031-195-05,2021,,rename,1,ACCELA
031-196-007,031-196-07,2021,,rename,1,ACCELA
031-196-008,031-196-08,2021,,rename,1,ACCELA
031-196-009,031-196-09,2021,,rename,1,ACCELA
031-196-010,031-196-10,2021,,rename,1,ACCELA
031-196-011,031-196-11,2021,,rename,1,ACCELA
031-196-012,031-196-12,2021,,rename,1,ACCELA
031-196-006,031-196-06,2021,,rename,1,ACCELA
031-196-013,031-196-13,2021,,rename,1,ACCELA
031-196-015,031-196-15,2021,,rename,1,ACCELA
031-196-016,031-196-16,2021,,rename,1,ACCELA
031-196-017,031-196-17,2021,,rename,1,ACCELA
031-201-001,031-201-01,2021,,rename,1,ACCELA
031-201-002,031-201-02,2021,,rename,1,ACCELA
031-201-003,031-201-03,2021,,rename,1,ACCELA
031-196-014,031-196-14,2021,,rename,1,ACCELA
031-196-005,031-196-05,2021,,rename,1,ACCELA
031-196-004,031-196-04,2021,,rename,1,ACCELA
031-196-003,031-196-03,2021,,rename,1,ACCELA
031-195-006,031-195-06,2021,,rename,1,ACCELA
031-195-007,031-195-07,2021,,rename,1,ACCELA
031-195-008,031-195-08,2021,,rename,1,ACCELA
031-195-009,031-195-09,2021,,rename,1,ACCELA
031-195-010,031-195-10,2021,,rename,1,ACCELA
031-195-011,031-195-11,2021,,rename,1,ACCELA
031-195-012,031-195-12,2021,,rename,1,ACCELA
031-195-013,031-195-13,2021,,rename,1,ACCELA
031-195-014,031-195-14,2021,,rename,1,ACCELA
031-195-015,031-195-15,2021,,rename,1,ACCELA
031-195-016,031-195-16,2021,,rename,1,ACCELA
031-195-017,031-195-17,2021,,rename,1,ACCELA
031-195-018,031-195-18,2021,,rename,1,ACCELA
031-195-019,031-195-19,2021,,rename,1,ACCELA
031-196-002,031-196-02,2021,,rename,1,ACCELA
031-192-016,031-192-16,2021,,rename,1,ACCELA
031-184-008,031-184-08,2021,,rename,1,ACCELA
031-192-015,031-192-15,2021,,rename,1,ACCELA
031-192-013,031-192-13,2021,,rename,1,ACCELA
