APN,YL,Units_CSV,Year,APN_fixed,FC_Units,COUNTY
129-280-12,2019 Final,4.0,2019,129-280-12,,
129-280-13,2019 Final,4.0,2019,129-280-13,,
129-280-14,2019 Final,1.0,2019,129-280-14,,
129-280-15,2019 Final,1.0,2019,129-280-15,,
129-280-16,2019 Final,1.0,2019,129-280-16,,
129-280-17,2019 Final,1.0,2019,129-280-17,,
129-280-18,2019 Final,1.0,2019,129-280-18,,
129-280-19,2019 Final,1.0,2019,129-280-19,,
129-291-03,2019 Final,1.0,2019,129-291-03,,
129-291-13,2019 Final,1.0,2019,129-291-13,,
129-291-17,2019 Final,1.0,2019,129-291-17,,
129-291-20,2019 Final,1.0,2019,129-291-20,,
129-292-01,2019 Final,1.0,2019,129-292-01,,
129-292-02,2019 Final,1.0,2019,129-292-02,,
129-292-03,2019 Final,1.0,2019,129-292-03,,
129-292-06,2019 Final,1.0,2019,129-292-06,,
129-292-07,2019 Final,1.0,2019,129-292-07,,
129-292-10,2019 Final,1.0,2019,129-292-10,,
129-292-12,2019 Final,1.0,2019,129-292-12,,
129-292-14,2019 Final,1.0,2019,129-292-14,,
129-292-17,2019 Final,1.0,2019,129-292-17,,
129-292-18,2019 Final,1.0,2019,129-292-18,,
129-292-19,2019 Final,1.0,2019,129-292-19,,
129-292-20,2019 Final,1.0,2019,129-292-20,,
129-292-22,2019 Final,1.0,2019,129-292-22,,
129-292-26,2019 Final,1.0,2019,129-292-26,,
130-312-04,2019 Final,1.0,2019,130-312-04,,
130-312-27,2019 Final,1.0,2019,130-312-27,,
1318-03-110-005,2019 Final,1.0,2019,1318-03-110-005,,
1318-09-810-035,2019 Final,1.0,2019,1318-09-810-035,,
1318-09-810-103,2019 Final,1.0,2019,1318-09-810-103,,
1318-10-310-010,2019 Final,4.0,2019,1318-10-310-010,,
1318-10-310-012,2019 Final,1.0,2019,1318-10-310-012,,
1318-10-310-015,2019 Final,1.0,2019,1318-10-310-015,,
1318-10-310-033,2019 Final,1.0,2019,1318-10-310-033,,
1318-10-415-062,2019 Final,1.0,2019,1318-10-415-062,,
1318-10-416-039,2019 Final,1.0,2019,1318-10-416-039,,
1318-15-601-003,2019 Final,1.0,2019,1318-15-601-003,,
1318-22-002-002,2019 Final,154.0,2019,1318-22-002-002,,
1318-23-212-005,2019 Final,1.0,2019,1318-23-212-005,,
1318-23-212-006,2019 Final,1.0,2019,1318-23-212-006,,
1318-23-710-003,2019 Final,1.0,2019,1318-23-710-003,,
1318-23-710-038,2019 Final,1.0,2019,1318-23-710-038,,
1318-23-710-039,2019 Final,1.0,2019,1318-23-710-039,,
1318-24-701-008,2019 Final,1.0,2019,1318-24-701-008,,
1318-25-110-010,2019 Final,1.0,2019,1318-25-110-010,,
1318-26-101-029,2019 Final,2.0,2019,1318-26-101-029,,
1318-26-601-006,2019 Final,1.0,2019,1318-26-601-006,,
1318-27-001-002,2019 Final,1.0,2019,1318-27-001-002,,
1318-27-001-003,2019 Final,1.0,2019,1318-27-001-003,,
1319-19-212-078,2019 Final,2.0,2019,1319-19-212-078,,
1319-19-710-031,2019 Final,1.0,2019,1319-19-710-031,,
1319-19-710-032,2019 Final,1.0,2019,1319-19-710-032,,
1418-03-301-002,2019 Final,1.0,2019,1418-03-301-002,,
1418-10-501-001,2019 Final,2.0,2019,1418-10-501-001,,
1418-10-702-006,2019 Final,1.0,2019,1418-10-702-006,,
1418-10-702-007,2019 Final,1.0,2019,1418-10-702-007,,
1418-10-802-008,2019 Final,8.0,2019,1418-10-802-008,,
1418-11-311-004,2019 Final,1.0,2019,1418-11-311-004,,
1418-15-201-001,2019 Final,2.0,2019,1418-15-201-001,,
1418-15-201-003,2019 Final,1.0,2019,1418-15-201-003,,
1418-15-601-001,2019 Final,1.0,2019,1418-15-601-001,,
1418-15-801-005,2019 Final,1.0,2019,1418-15-801-005,,
1418-22-611-027,2019 Final,1.0,2019,1418-22-611-027,,
1418-27-210-015,2019 Final,1.0,2019,1418-27-210-015,,
1418-27-210-029,2019 Final,1.0,2019,1418-27-210-029,,
1418-34-101-001,2019 Final,20.0,2019,1418-34-101-001,,
1418-34-110-003,2019 Final,1.0,2019,1418-34-110-003,,
1418-34-110-010,2019 Final,1.0,2019,1418-34-110-010,,
1418-34-110-020,2019 Final,1.0,2019,1418-34-110-020,,
1418-34-110-024,2019 Final,1.0,2019,1418-34-110-024,,
1418-34-110-039,2019 Final,1.0,2019,1418-34-110-039,,
1418-34-201-001,2019 Final,1.0,2019,1418-34-201-001,,
1418-34-201-004,2019 Final,1.0,2019,1418-34-201-004,,
1418-34-201-005,2019 Final,1.0,2019,1418-34-201-005,,
1418-34-201-006,2019 Final,1.0,2019,1418-34-201-006,,
1418-34-210-007,2019 Final,1.0,2019,1418-34-210-007,,
1418-34-211-026,2019 Final,1.0,2019,1418-34-211-026,,
1418-34-211-046,2019 Final,1.0,2019,1418-34-211-046,,
1418-34-401-009,2019 Final,2.0,2019,1418-34-401-009,,
1418-34-401-010,2019 Final,1.0,2019,1418-34-401-010,,
1418-34-401-011,2019 Final,1.0,2019,1418-34-401-011,,
117-150-040,2019 Final,1.0,2019,117-150-040,,
098-210-030,2019 Final,1.0,2019,098-210-030,,
098-210-031,2019 Final,1.0,2019,098-210-031,,
094-110-007,2019 Final,1.0,2019,094-110-007,,
124-860-01,2019 Final,1.0,2019,124-860-01,,
124-860-02,2019 Final,1.0,2019,124-860-02,,
124-860-03,2019 Final,1.0,2019,124-860-03,,
015-370-023,2020 Final,1.0,2020,015-370-023,,
016-091-42,2020 Final,1.0,2020,016-091-42,,
016-101-014,2020 Final,1.0,2020,016-101-014,,
016-300-57,2020 Final,1.0,2020,016-300-57,,
025-735-006,2020 Final,1.0,2020,025-735-006,,
027-313-013,2020 Final,1.0,2020,027-313-013,,
027-621-015,2020 Final,1.0,2020,027-621-015,,
033-255-06,2020 Final,1.0,2020,033-255-06,,
033-255-08,2020 Final,1.0,2020,033-255-08,,
034-734-026,2020 Final,1.0,2020,034-734-026,,
035-283-018,2020 Final,1.0,2020,035-283-018,,
035-283-022,2020 Final,1.0,2020,035-283-022,,
080-162-017,2020 Final,1.0,2020,080-162-017,,
080-192-033,2020 Final,1.0,2020,080-192-033,,
083-032-031,2020 Final,1.0,2020,083-032-031,,
083-032-032,2020 Final,1.0,2020,083-032-032,,
083-033-014,2020 Final,1.0,2020,083-033-014,,
083-061-026,2020 Final,1.0,2020,083-061-026,,
083-074-003,2020 Final,1.0,2020,083-074-003,,
083-390-023,2020 Final,1.0,2020,083-390-023,,
084-052-010,2020 Final,1.0,2020,084-052-010,,
084-092-009,2020 Final,1.0,2020,084-092-009,,
084-092-016,2020 Final,1.0,2020,084-092-016,,
084-110-011,2020 Final,1.0,2020,084-110-011,,
084-110-014,2020 Final,2.0,2020,084-110-014,,
084-110-017,2020 Final,1.0,2020,084-110-017,,
084-172-005,2020 Final,2.0,2020,084-172-005,,
084-191-001,2020 Final,3.0,2020,084-191-001,,
090-030-044,2020 Final,1.0,2020,090-030-044,,
090-071-034,2020 Final,2.0,2020,090-071-034,,
090-124-018,2020 Final,6.0,2020,090-124-018,,
090-134-046,2020 Final,4.0,2020,090-134-046,,
090-231-036,2020 Final,1.0,2020,090-231-036,,
090-232-026,2020 Final,1.0,2020,090-232-026,,
090-262-013,2020 Final,1.0,2020,090-262-013,,
090-271-015,2020 Final,1.0,2020,090-271-015,,
090-292-003,2020 Final,1.0,2020,090-292-003,,
092-142-010,2020 Final,1.0,2020,092-142-010,,
092-142-020,2020 Final,1.0,2020,092-142-020,,
092-152-015,2020 Final,1.0,2020,092-152-015,,
092-190-052,2020 Final,1.0,2020,092-190-052,,
092-190-053,2020 Final,1.0,2020,092-190-053,,
092-234-012,2020 Final,1.0,2020,092-234-012,,
093-042-021,2020 Final,1.0,2020,093-042-021,,
093-042-022,2020 Final,1.0,2020,093-042-022,,
093-160-016,2020 Final,1.0,2020,093-160-016,,
093-194-007,2020 Final,1.0,2020,093-194-007,,
093-194-012,2020 Final,1.0,2020,093-194-012,,
