Lost_APN,Issue_Category,Years_Lost,Total_Units_CSV,Match_Source,Candidate_New_APN,Match_Type,Already_In_Tahoe,Action
026-300-001,PARCEL_SPLIT,"[2020, 2021, 2022, 2023, 2024, 2025]",12,ACCELA,026-300-01,accela_rename,NO,NEEDS_CHANGE_YEAR
026-300-001,PARCEL_SPLIT,"[2020, 2021, 2022, 2023, 2024, 2025]",12,KK,026-300-01,kk_rename,NO,NEEDS_CHANGE_YEAR
026-300-001,PARCEL_SPLIT,"[2020, 2021, 2022, 2023, 2024, 2025]",12,KK,026-300-001,kk_rename,NO,NEEDS_CHANGE_YEAR
026-300-001,PARCEL_SPLIT,"[2020, 2021, 2022, 2023, 2024, 2025]",12,ACCELA,026-300-01,accela_rename,NO,NEEDS_CHANGE_YEAR
026-300-001,PARCEL_SPLIT,"[2020, 2021, 2022, 2023, 2024, 2025]",12,KK,026-300-01,kk_rename,NO,NEEDS_CHANGE_YEAR
026-300-001,PARCEL_SPLIT,"[2020, 2021, 2022, 2023, 2024, 2025]",12,KK,026-300-001,kk_rename,NO,NEEDS_CHANGE_YEAR
097-122-013,PARCEL_SPLIT,"[2020, 2021, 2022, 2023, 2024, 2025]",11,KK,097-122-033,kk_rename,NO,NEEDS_CHANGE_YEAR
097-122-013,PARCEL_SPLIT,"[2020, 2021, 2022, 2023, 2024, 2025]",11,KK,097-122-033,kk_rename,NO,NEEDS_CHANGE_YEAR
117-230-008,PARCEL_SPLIT,[2013],10,KK,117-230-007,kk_rename,NO,NEEDS_CHANGE_YEAR
117-230-008,PARCEL_SPLIT,[2013],10,KK,117-230-007,kk_rename,NO,NEEDS_CHANGE_YEAR
1318-24-701-008,PARCEL_SPLIT,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",10,ACCELA,1318-24-701-010,accela_rename,NO,NEEDS_CHANGE_YEAR
1318-24-701-008,PARCEL_SPLIT,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",10,KK,1318-24-701-010,kk_rename,NO,NEEDS_CHANGE_YEAR
