APN,ParcelTrackerNotes
098-210-030,New APNs: 098-360-001 through 098-360-007 (Parcels 098-210-030 & 098-210-031 were combined and subdivided into a common area with 6 detached multi-family residential units; 098-360-007 is the common area).
098-210-031,New APNs: 098-360-001 through 098-360-007 (Parcels 098-210-030 & 098-210-031 were combined and subdivided into a common area with 6 detached multi-family residential units; 098-360-007 is the common area).
122-181-64,"Previous APN: 122-181-62 (this parcel was split into 122-181-65 & 122-181-64).

NOTE #1: This parcel's architecture is potentially eligible as a historic resource and shall be treated as historic for planning purposes (HIST2021-0272).

NOTE #2: APNs 122-181-32, 122-181-64 & 122-181-65 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to one shared pier and for scenic mitigation purposes. See permit ERSP2020-0121 for specific details.

NOTE #3: There is currently an equal area lot line adjustment permit (LLAD2021-0535) in process for APNs 122-181-64 & 122-181-65.
APN 122-181-64 will be changed to 122-181-78
APN 122-181-65 will be changed to 122-181-79
These parcels will also be combined into a deed restricted project area for coverage purposes. The parcel area, land capability, base allowable coverage, existing coverage, banked coverage, existing development rights, and banked development rights have been combined & are shown here.

"
122-181-65,"Previous APN: 122-181-62 (this parcel was split into 122-181-65 & 122-181-64).

NOTE #1: This parcel's architecture is potentially eligible as a historic resource and shall be treated as historic for planning purposes (HIST2021-0272).

NOTE #2: APNs 122-181-32, 122-181-64 & 122-181-65 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to one shared pier and for scenic mitigation purposes. See  permit ERSP2020-0121 for specific details.

NOTE #3: There is currently an equal area lot line adjustment permit (LLAD2021-0535) in process for APNs 122-181-64 & 122-181-65.
APN 122-181-64 will be changed to 122-181-78
APN 122-181-65 will be changed to 122-181-79
These parcels will also be combined into a deed restricted project area for coverage purposes. The parcel area, land capability, base allowable coverage, existing coverage, banked coverage, existing development rights, and banked development rights have been combined & are shown on 121-181-64.

"
123-143-11,
130-241-45,New APNs: 130-241-65 & 130-241-66 (Portions of both 130-241-45 and 130-241-46 were combined with the remainder of each parcel to form new APNs 130-241-65 and 130-241-66. 130-241-65 is mostly former APN 130-241-46 and 130-241-66 is mostly former APN 130-241-45.)
130-241-46,"New APNs: 130-241-65 & 130-241-66 (Portions of both 130-241-45 and 130-241-46 were combined with the remainder of each parcel to form new APNs 130-241-65 and 130-241-66. 130-241-65 is mostly former APN 130-241-46 and 130-241-66 is mostly former APN 130-241-45.)

NOTE: Verified parcel size includes 2,358 sf for Debra Lane Roadway Easement. 

"
130-331-05,
1318-10-310-002,
1318-10-310-009,
