APN,CY2012,CY2013,CY2014,CY2015,CY2016,CY2017,CY2018,CY2019,CY2020,CY2021,CY2022,CY2023,CY2024,CY2025
117-071-012,14,14,14,14,14,14,14,14,14,14,14,14,14,14
117-071-013,19,19,19,19,19,19,19,19,19,19,19,19,19,19
117-071-015,21,21,21,21,21,21,21,21,21,21,21,,,
117-071-029,8,8,8,8,8,8,8,8,8,8,8,8,8,8
117-071-042,1,1,1,1,1,1,1,1,1,1,1,1,1,1
117-071-053,,,,,,,,,,,,21,21,21
117-072-003,26,26,26,26,26,26,26,26,26,26,26,26,26,26
117-072-004,8,8,8,8,8,8,8,8,8,8,8,8,8,8
117-072-007,9,9,9,9,9,9,9,9,9,9,9,9,9,9
117-072-013,32,32,32,32,32,32,32,32,32,32,32,32,32,32
117-080-065,64,64,64,64,64,64,64,64,64,64,64,64,64,64
117-100-023,21,21,21,21,21,21,21,21,21,21,21,21,21,21
117-110-008,9,9,9,9,9,9,9,0,0,0,0,0,0,0
117-110-019,8,8,8,8,8,8,8,8,8,8,8,8,8,8
117-110-070,12,12,12,12,12,12,12,12,12,12,12,12,12,12
117-130-010,7,7,7,7,7,7,7,7,7,7,7,7,7,7
117-130-016,7,7,7,7,7,7,7,7,7,7,7,7,7,7
117-140-006,31,31,31,31,31,31,31,31,31,31,31,31,31,31
117-140-008,24,24,24,24,24,24,24,24,24,24,24,24,24,24
117-150-040,6,6,6,6,6,6,6,,,,,,,
117-150-048,,,,,,,,6,6,,,,,
117-240-022,19,19,19,19,19,19,19,19,19,19,19,19,19,19
123-031-01,219,219,219,219,201,201,186,186,186,186,186,186,186,186
123-042-01,19,19,19,19,19,19,19,19,19,19,19,19,19,19
123-042-15,10,10,10,10,10,10,10,10,10,10,10,10,10,10
123-052-04,95,95,95,,95,95,95,95,95,95,95,95,95,95
