Relation_ID,Residential_Unit_ID,APN,APN_canon,Transaction_ID,Sequence,Is_Latest,Transaction_Type,Development_Type,Detailed_Development_Type,Development_Right,Allocation_Number,Quantity,Transaction_Record_ID,Transaction_Created_Date,Transaction_Acknowledged_Date,Year_Built,TRPA_Project_Number,Local_Project_Number,TRPA_Status,TRPA_Status_Date,Local_Status,Local_Status_Date,Status_Jan_2026,Notes
RUT-015-262-007-001-01,RU-015-262-007-001,015-262-007,015-262-007,EDCCA-ALLOC-1972,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation - El Dorado County,EL-21-O-10,1.0,,,,2023.0,340483,340482,Finaled,2024-07-31,Finaled,2023-10-10,Completed,
RUT-015-263-012-001-01,RU-015-263-012-001,015-263-012,015-263-012,EDCCA-ALLOC-1389,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation - El Dorado County,EL-09-O-06,1.0,,,,2014.0,219440,195389,Finaled,2024-10-01,Finaled,2014-06-09,Completed,
RUT-015-265-003-001-01,RU-015-265-003-001,015-265-003,015-265-003,EDCCA-ALLOC-576,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation,EL-16-O-07,1.0,,,,2018.0,,,,,,,Completed,
RUT-015-304-013-001-01,RU-015-304-013-001,015-304-013,015-304-013,EDCCA-ALLOC-2636,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation - El Dorado County,EL-22-O-08,1.0,,,,2025.0,373088,373087,Finaled,2025-12-04,Finaled,2025-06-16,Completed,
RUT-015-304-033-001-01,RU-015-304-033-001,015-304-033,015-304-033,EDCCA-ALLOC-1475,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-20-O-22,1.0,,,,2022.0,,,,,,,Completed,
RUT-015-304-033-002-01,RU-015-304-033-002,015-304-033,015-304-033,EDCCA-ALLOC-1475,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-20-O-22,1.0,,,,2022.0,,,,,,,Completed,
RUT-015-311-011-001-01,RU-015-311-011-001,015-311-011,015-311-011,EDCCA-ALLOC-1691,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-20-O-23,1.0,,,,2022.0,,,,,,,Completed,
RUT-015-311-017-001-01,RU-015-311-017-001,015-311-017,015-311-017,EDCCA-ALLOC-563,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-16-O-14,1.0,,,,2020.0,,,,,,,Completed,
RUT-015-313-017-001-01,RU-015-313-017-001,015-313-017,015-313-017,EDCCA-ALLOC-2354,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation - El Dorado County,EL-22-O-01,1.0,,,,2024.0,0355647,355646,Finaled,2024-06-05,Finaled,2024-04-09,Completed,
RUT-015-314-005-001-01,RU-015-314-005-001,015-314-005,015-314-005,EDCCA-ALLOC-737,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-18-O-18,1.0,,,,2019.0,,,,,,,Completed,
RUT-015-314-022-001-01,RU-015-314-022-001,015-314-022,015-314-022,EDCCA-ALLOC-1395,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-09-O-13,1.0,,,,2011.0,,,,,,,Completed,
RUT-015-315-002-001-01,RU-015-315-002-001,015-315-002,015-315-002,EDCCA-ALLOC-556,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-17-O-30,1.0,,,,2019.0,,,,,,,Completed,
RUT-015-315-007-001-01,RU-015-315-007-001,015-315-007,015-315-007,EDCCA-ALLOC-1391,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-09-O-08,1.0,,,,2014.0,,,,,,,Completed,
RUT-015-315-015-001-01,RU-015-315-015-001,015-315-015,015-315-015,EDCCA-ALLOC-2125,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation - El Dorado County,EL-21-O-28,1.0,,,,2025.0,0349303,349302,Issued,2023-02-16,Finaled,2025-02-04,Completed,
