Building_ID,APN,APN_canon,Square_Feet,Original_Year_Built,Feature,Surface,Parcel_Acres,Residential_Units,Units_Assigned,COUNTY,JURISDICTION
19265,027-124-017,027-124-017,1069.35,1954,Building,Hard,0.1142310584326288,1.0,1,EL,CSLT
19266,027-170-002,027-170-002,1605.75,1961,Building,Hard,4.673490141610225,36.0,3,EL,CSLT
19267,028-163-004,028-163-004,2996.24,1977,Building,Hard,0.7073545830097367,1.0,1,EL,CSLT
19268,027-125-004,027-125-004,1608.02,1977,Building,Hard,0.1142308362371193,1.0,1,EL,CSLT
19269,027-151-024,027-151-024,2332.31,1966,Building,Hard,0.2296936017086999,5.0,5,EL,CSLT
19270,027-364-028,027-364-028,3403.94,2007,Building,Hard,0.6799033154822256,0.0,0,EL,CSLT
19271,028-241-001,028-241-001,5385.48,,Building,Hard,4.068418525489089,1.0,1,EL,CSLT
19272,027-354-006,027-354-006,1294.84,1983,Building,Hard,0.2640513961785344,1.0,1,EL,CSLT
19273,027-125-018,027-125-018,764.15,1979,Building,Hard,0.114256471911345,0.0,0,EL,CSLT
19274,028-301-047,028-301-047,1486.17,1973,Building,Hard,0.0461409891163501,1.0,1,EL,CSLT
19275,028-301-026,028-301-026,1327.29,1973,Building,Hard,0.0459455205985379,1.0,1,EL,CSLT
19276,028-340-024,028-340-024,1462.91,1953,Building,Hard,4.9860797806285255,2.0,0,EL,CSLT
19277,028-301-019,028-301-019,1028.5,1979,Building,Hard,0.045863482825522,1.0,1,EL,CSLT
19278,027-153-029,027-153-029,966.87,1976,Building,Hard,0.1152165891585807,2.0,2,EL,CSLT
19279,027-357-002,027-357-002,2089.75,1960,Building,Hard,0.199861425127558,2.0,2,EL,CSLT
19280,027-354-017,027-354-017,2097.71,1958,Building,Hard,0.2010194515981853,8.0,8,EL,CSLT
19281,027-354-019,027-354-019,862.09,1973,Building,Hard,0.3563773875460624,5.0,1,EL,CSLT
19282,027-354-019,027-354-019,800.59,1973,Building,Hard,0.3563773875460624,5.0,1,EL,CSLT
19283,027-201-010,027-201-010,898.53,1957,Building,Hard,0.1063560648502719,1.0,1,EL,CSLT
19284,018-191-014,018-191-014,905.37,2001,Building,Hard,0.3250121678296862,1.0,0,EL,EL
19285,027-153-018,027-153-018,1011.27,1965,Building,Hard,0.1148725399072932,2.0,2,EL,CSLT
19286,027-203-017,027-203-017,1545.39,1947,Building,Hard,0.2365617868568688,2.0,2,EL,CSLT
19287,027-153-022,027-153-022,783.51,1957,Building,Hard,0.1142318732873037,1.0,1,EL,CSLT
19288,028-301-009,028-301-009,1057.31,1979,Building,Hard,0.0458319597398284,1.0,1,EL,CSLT
19289,027-354-020,027-354-020,1514.64,1966,Building,Hard,0.344763660367018,7.0,2,EL,CSLT
19290,028-340-024,028-340-024,1765.75,1953,Building,Hard,4.9860797806285255,2.0,1,EL,CSLT
19291,027-156-003,027-156-003,1642.39,1974,Building,Hard,0.1146266845852175,2.0,2,EL,CSLT
19292,027-354-018,027-354-018,3382.3,1963,Building,Hard,0.1723003040365071,6.0,6,EL,CSLT
19293,027-352-002,027-352-002,4517.72,1957,Building,Hard,0.1777994886401959,9.0,9,EL,CSLT
19294,028-153-013,028-153-013,2528.19,1971,Building,Hard,0.2485003829448332,1.0,1,EL,CSLT
19295,027-153-030,027-153-030,1346.08,1976,Building,Hard,0.1152416482764663,2.0,2,EL,CSLT
19296,027-170-002,027-170-002,4701.06,1961,Building,Hard,4.673490141610225,36.0,9,EL,CSLT
19297,027-151-023,027-151-023,979.38,1965,Building,Hard,0.1152166503754158,2.0,2,EL,CSLT
19298,027-151-034,027-151-034,2583.99,1988,Building,Hard,0.2382290918901249,1.0,1,EL,CSLT
19299,027-124-015,027-124-015,998.74,1938,Building,Hard,0.115241068543403,1.0,1,EL,CSLT
19300,028-152-009,028-152-009,2609.05,1973,Building,Hard,0.2994461704383036,1.0,1,EL,CSLT
19301,028-151-001,028-151-001,728.84,1975,Building,Hard,0.2515574345932871,1.0,0,EL,CSLT
19302,027-124-016,027-124-016,1710.41,1962,Building,Hard,0.1152160696756,2.0,2,EL,CSLT
19303,028-301-018,028-301-018,1265.23,1979,Building,Hard,0.0459084444004323,1.0,1,EL,CSLT
19304,028-301-027,028-301-027,1965.52,1973,Building,Hard,0.0459528892334457,1.0,1,EL,CSLT
19305,027-156-016,027-156-016,1399.61,1981,Building,Hard,0.1152420314138818,1.0,1,EL,CSLT
19306,027-114-019,027-114-019,1152.48,1977,Building,Hard,0.129905428967664,1.0,1,EL,CSLT
19307,027-124-014,027-124-014,732.26,1941,Building,Hard,0.1142569301436301,1.0,1,EL,CSLT
