Transaction Number,Parcel Type,APN,Current Parcel Status 2/1/2024,Parcel Address,Current Active Parcel
TRPA-TRF-293,Sending,031-030-032,Active,,
TRPA-TRF-292,Sending,027-082-035,Active,,
TRPA-TRF-291,Sending,026-032-014,Active,,
TRPA-TRF-290,Sending,027-082-035,Active,,
TRPA-TRF-289,Sending,031-221-002,Active,,
TRPA-TRF-288,Sending,1318-22-002-103,Active,,
TRPA-TRF-287,Sending,1318-22-002-103,Active,,
TRPA-TRF-286,Sending,027-082-035,Active,,
TRPA-TRF-285,Sending,1318-22-002-103,Active,,
TRPA-TRF-242,Sending,028-162-014,Active,,
TRPA-TRF-124,Sending,090-202-032,Active,,
TRPA-TRF-123,Sending,090-202-031,Active,,
TRPA-TRF-122,Sending,090-202-030,Active,,
TRPA-TRF-121,Sending,090-202-029,Active,,
TRPA-TRF-120,Sending,090-202-028,Active,,
TRPA-TRF-119,Sending,090-202-027,Active,,
TRPA-TRF-106,Sending,1418-34-101-001,Inactive,"1301 HWY 50, NV 89413",1418-34-113-002
TRPA-TRF-105,Sending,032-100-006,Active,,
TRPA-TRF-104,Sending,1318-26-501-005,Active,,
TRPA-TRF-103,Sending,1318-26-501-005,Active,,
TRPA-TRF-102,Sending,1318-26-501-005,Active,,
TRPA-TRF-101,Sending,1318-26-501-005,Active,,
TRPA-TRF-100,Sending,1318-22-002-103,Active,,
TRPA-TRF-98,Sending,029-061-008,Active,,
TRPA-TRF-97,Sending,027-040-033,Active,,
TRPA-TRF-94,Sending,032-151-015,Active,,
TRPA-TRF-93,Sending,029-061-010,Active,,
TRPA-TRF-92,Sending,1318-15-201-003,Active,,
TRPA-TRF-91,Sending,032-100-006,Active,,
TRPA-TRF-90,Sending,029-441-004,Inactive,,029-441-024
TRPA-TRF-88,Sending,034-571-003,Active,,
TRPA-TRF-86,Sending,1318-15-201-003,Active,,
TRPA-TRF-85,Sending,1318-22-002-103,Active,,
TRPA-TRF-2392,Receiving,025-041-023,Active,,
TRPA-TRF-2391,Receiving,023-772-008,Active,,
TRPA-TRF-2389,Receiving,033-882-003,Active,,
TRPA-TRF-2388,Receiving,023-241-042,Active,,
