CSV_APN,FC_APN,Year,match,APN_changed
093-160-016,093-160-082,2024,within,True
093-194-007,093-194-017,2024,within,True
093-194-012,093-194-018,2024,within,True
094-032-004,094-032-020,2024,within,True
094-110-007,094-110-026,2024,within,True
094-122-001,094-122-062,2024,within,True
094-122-019,094-122-059,2024,within,True
094-173-005,094-173-026,2024,within,True
094-173-021,094-173-027,2024,within,True
094-200-049,094-200-061,2024,within,True
095-110-006,095-110-026,2024,within,True
095-130-007,095-130-014,2024,within,True
097-050-043,097-050-107,2024,within,True
097-092-003,097-092-012,2024,within,True
097-100-022,097-100-046,2024,within,True
097-122-002,097-122-034,2024,within,True
097-122-013,097-122-033,2024,within,True
097-122-015,097-122-034,2024,within,True
097-122-028,097-122-034,2024,within,True
097-130-029,097-130-042,2024,within,True
097-164-006,097-164-013,2024,within,True
097-192-001,097-192-010,2024,within,True
097-193-004,097-200-028,2024,within,True
098-010-036,098-010-041,2024,within,True
098-010-037,098-010-042,2024,within,True
098-164-009,098-164-016,2024,within,True
098-165-002,098-165-007,2024,within,True
098-167-006,098-167-019,2024,within,True
098-192-002,098-192-011,2024,within,True
098-210-030,098-360-001,2024,within,True
098-210-031,098-360-007,2024,within,True
098-231-024,098-231-039,2024,within,True
098-314-014,098-314-019,2024,within,True
112-060-017,112-060-034,2024,within,True
112-060-018,112-060-037,2024,within,True
112-070-002,112-070-034,2024,within,True
112-180-009,112-180-077,2024,within,True
112-190-040,112-190-064,2024,within,True
112-190-042,112-190-068,2024,within,True
112-190-044,112-190-045,2024,within,True
112-270-004,112-270-076,2024,within,True
115-030-035,115-030-100,2024,within,True
115-030-073,115-030-102,2024,within,True
115-040-075,115-040-081,2024,within,True
115-040-079,115-040-089,2024,within,True
115-050-039,115-050-052,2024,within,True
115-060-010,115-060-023,2024,within,True
115-060-018,115-060-022,2024,within,True
117-020-009,117-020-025,2024,within,True
117-071-015,117-071-053,2024,within,True
117-071-025,117-071-055,2024,within,True
117-100-004,117-100-088,2024,within,True
117-100-014,117-100-089,2024,within,True
117-100-015,117-100-089,2024,within,True
117-100-016,117-100-091,2024,within,True
117-100-017,117-100-091,2024,within,True
117-110-008,117-110-072,2024,within,True
117-110-023,117-110-075,2024,within,True
117-120-031,117-120-041,2024,within,True
117-150-040,117-150-048,2024,within,True
117-160-013,117-150-049,2024,within,True
117-180-037,117-180-065,2024,within,True
117-180-038,117-180-065,2024,within,True
122-100-04,122-100-29,2024,within,True
122-100-23,122-100-27,2024,within,True
122-100-24,122-100-27,2024,within,True
122-181-24,122-181-77,2024,within,True
122-181-37,122-251-19,2024,within,True
122-181-64,122-181-79,2024,within,True
122-181-65,122-181-79,2024,within,True
122-530-25,122-530-38,2024,within,True
122-530-26,122-530-38,2024,within,True
123-021-04,123-201-02,2024,within,True
123-032-01,123-032-20,2024,within,True
123-032-11,123-032-28,2024,within,True
123-032-12,123-032-28,2024,within,True
123-032-13,123-032-29,2024,within,True
123-041-05,123-041-28,2024,within,True
123-041-19,123-041-26,2024,within,True
123-071-35,123-071-39,2024,within,True
123-131-02,123-131-08,2024,within,True
123-131-05,123-131-10,2024,within,True
123-143-11,123-143-21,2024,within,True
124-860-01,124-860-07,2024,within,True
124-860-02,124-860-06,2024,within,True
124-860-03,124-860-05,2024,within,True
125-141-30,125-141-35,2024,within,True
125-141-31,125-141-36,2024,within,True
125-142-01,125-156-09,2024,within,True
125-142-02,125-156-10,2024,within,True
125-142-03,125-156-11,2024,within,True
125-382-19,125-382-21,2024,within,True
125-462-08,125-462-10,2024,within,True
126-080-25,126-080-28,2024,within,True
126-082-49,126-082-67,2024,within,True
126-560-28,126-560-42,2024,within,True
126-560-37,126-560-41,2024,within,True
126-570-16,126-570-37,2024,within,True
129-022-07,129-091-03,2024,within,True
129-280-12,129-301-01,2024,within,True
129-280-13,129-301-02,2024,within,True
129-280-14,129-301-03,2024,within,True
129-280-15,129-301-04,2024,within,True
129-280-16,129-301-05,2024,within,True
129-280-17,129-301-06,2024,within,True
129-280-18,129-301-07,2024,within,True
129-280-19,129-301-08,2024,within,True
129-291-03,129-291-33,2024,within,True
