old_apn,new_apn,change_year,overlap_pct,change_type,is_primary,source
003-171-26,1418-34-112-018,,,,1,LTINFO
003-171-27,1418-34-112-019,,,,1,LTINFO
003-172-04,1418-34-211-034,,,,1,LTINFO
003-172-06,1418-34-211-032,,,,1,LTINFO
003-172-16,1418-34-211-022,,,,1,LTINFO
003-172-24,1418-34-112-029,,,,1,LTINFO
003-172-36,1418-34-211-020,,,,1,LTINFO
003-180-02,1418-34-210-002,,,,1,LTINFO
003-180-03,1418-34-210-003,,,,1,LTINFO
003-180-07,003-180-29,,,,1,LTINFO
003-180-08,1418-34-210-031,,,,1,LTINFO
003-180-09,003-180-35,,,,1,LTINFO
003-180-10,1418-34-210-011,,,,1,LTINFO
003-180-10,1418-34-210-012,,,,1,LTINFO
003-180-12,1418-34-210-016,,,,1,LTINFO
003-180-17,1418-34-210-020,,,,1,LTINFO
003-180-18,003-180-40,,,,1,LTINFO
003-180-21,1418-34-210-025,,,,1,LTINFO
003-180-22,1418-34-210-026,,,,1,LTINFO
003-180-23,1418-34-210-027,,,,1,LTINFO
003-180-27,1418-34-210-022,,,,1,LTINFO
003-180-29,003-180-36,,,,1,LTINFO
003-180-35,1418-34-210-010,,,,1,LTINFO
003-180-36,1418-34-210-007,,,,1,LTINFO
003-180-40,1418-34-210-021,,,,1,LTINFO
003-191-03,1418-34-201-004,,,,1,LTINFO
003-191-05,1418-34-301-001,,,,1,LTINFO
003-191-06,1418-34-301-002,,,,1,LTINFO
003-191-09,1418-34-301-005,,,,1,LTINFO
003-191-10,003-200-17,,,,1,LTINFO
003-191-10,003-200-23,,,,1,LTINFO
003-191-10,003-200-24,,,,1,LTINFO
003-191-10,003-200-25,,,,1,LTINFO
003-191-15,003-191-17,,,,1,LTINFO
003-191-17,003-191-18,,,,1,LTINFO
003-191-18,1418-34-201-001,,,,1,LTINFO
003-191-23,003-192-23,,,,1,LTINFO
003-192-05,1418-34-303-001,,,,1,LTINFO
003-192-12,1418-34-303-008,,,,1,LTINFO
003-192-19,1418-34-601-004,,,,1,LTINFO
003-192-20,1418-34-601-005,,,,1,LTINFO
003-192-21,1418-34-601-006,,,,1,LTINFO
003-192-23,003-192-28,,,,1,LTINFO
003-192-24,1418-34-202-001,,,,1,LTINFO
003-192-25,1418-34-202-002,,,,1,LTINFO
003-192-28,1418-34-601-008,,,,1,LTINFO
003-200-01,1418-34-304-004,,,,1,LTINFO
003-200-04,1418-34-304-001,,,,1,LTINFO
003-200-10,1418-34-304-011,,,,1,LTINFO
003-200-12,1418-34-304-010,,,,1,LTINFO
003-200-13,1418-34-304-009,,,,1,LTINFO
003-200-17,003-200-26,,,,1,LTINFO
003-200-23,1418-34-310-006,,,,1,LTINFO
003-200-24,1418-34-310-007,,,,1,LTINFO
003-200-25,003-200-27,,,,1,LTINFO
003-200-26,1418-34-310-001,,,,1,LTINFO
003-200-27,1418-34-310-012,,,,1,LTINFO
003-210-02,1418-34-401-002,,,,1,LTINFO
003-210-05,1418-34-401-007,,,,1,LTINFO
003-210-06,1418-34-401-006,,,,1,LTINFO
003-210-10,1418-34-401-003,,,,1,LTINFO
003-220-05,1418-34-401-015,,,,1,LTINFO
003-220-05,1418-34-401-016,,,,1,LTINFO
003-220-05,1418-34-401-017,,,,1,LTINFO
003-220-06,1418-34-401-014,,,,1,LTINFO
003-220-07,1418-34-401-013,,,,1,LTINFO
003-220-09,1418-34-401-020,,,,1,LTINFO
003-220-18,003-220-25,,,,1,LTINFO
003-220-19,1418-34-401-019,,,,1,LTINFO
003-220-25,1418-34-401-018,,,,1,LTINFO
003-241-02,1418-34-610-002,,,,1,LTINFO
003-241-03,1418-34-610-003,,,,1,LTINFO
003-241-05,1418-34-610-005,,,,1,LTINFO
003-241-08,1418-34-610-008,,,,1,LTINFO
003-241-09,1418-34-610-009,,,,1,LTINFO
003-242-01,003-242-09,,,,1,LTINFO
003-242-04,1418-34-610-014,,,,1,LTINFO
003-242-07,1418-34-610-010,,,,1,LTINFO
003-242-09,1418-34-610-016,,,,1,LTINFO
003-242-10,1418-34-610-012,,,,1,LTINFO
003-250-09,1418-27-812-001,,,,1,LTINFO
003-270-01,1418-27-712-008,,,,1,LTINFO
005-010-03,005-010-14,,,,1,LTINFO
005-010-04,1318-00-001-008,,,,1,LTINFO
005-010-14,1318-10-000-002,,,,1,LTINFO
005-021-05,1318-03-111-005,,,,1,LTINFO
005-021-06,1318-03-111-006,,,,1,LTINFO
005-021-10,1318-03-110-004,,,,1,LTINFO
005-021-11,1318-03-110-005,,,,1,LTINFO
005-021-12,1318-03-110-006,,,,1,LTINFO
005-021-13,1318-03-110-007,,,,1,LTINFO
005-021-17,1318-03-110-011,,,,1,LTINFO
005-022-11,1318-03-111-009,,,,1,LTINFO
005-022-14,1318-03-111-012,,,,1,LTINFO
005-023-04,1318-03-111-042,,,,1,LTINFO
005-023-05,1318-03-111-043,,,,1,LTINFO
005-023-06,1318-03-111-044,,,,1,LTINFO
005-031-02,1318-03-110-015,,,,1,LTINFO
005-031-09,1318-03-210-002,,,,1,LTINFO
005-031-11,1318-03-110-016,,,,1,LTINFO
005-032-03,1318-03-110-024,,,,1,LTINFO
005-032-11,1318-03-210-036,,,,1,LTINFO
005-032-23,1318-03-111-028,,,,1,LTINFO
005-033-01,1318-03-111-051,,,,1,LTINFO
005-034-14,1318-03-211-016,,,,1,LTINFO
005-034-15,1318-03-211-015,,,,1,LTINFO
005-034-16,1318-03-211-014,,,,1,LTINFO
005-041-12,1318-03-212-022,,,,1,LTINFO
005-041-16,1318-03-212-018,,,,1,LTINFO
005-041-18,1318-03-212-030,,,,1,LTINFO
005-042-03,1318-03-212-041,,,,1,LTINFO
005-042-11,1318-03-212-035,,,,1,LTINFO
005-043-03,1318-03-212-064,,,,1,LTINFO
005-043-05,1318-03-212-062,,,,1,LTINFO
005-043-06,1318-03-212-061,,,,1,LTINFO
005-043-09,1318-03-212-058,,,,1,LTINFO
005-043-10,1318-03-212-057,,,,1,LTINFO
005-043-20,1318-03-212-068,,,,1,LTINFO
005-044-07,1318-03-212-087,,,,1,LTINFO
005-045-09,1318-03-212-048,,,,1,LTINFO
005-051-01,005-051-28,,,,1,LTINFO
005-051-01,005-051-29,,,,1,LTINFO
005-051-02,1318-03-210-008,,,,1,LTINFO
005-051-07,1318-03-210-013,,,,1,LTINFO
005-051-09,1318-03-210-015,,,,1,LTINFO
005-051-16,1318-03-210-023,,,,1,LTINFO
005-051-17,1318-03-210-024,,,,1,LTINFO
005-051-21,1318-03-212-002,,,,1,LTINFO
005-051-22,1318-03-212-001,,,,1,LTINFO
005-051-23,1318-03-210-020,,,,1,LTINFO
005-051-26,1318-03-210-014,,,,1,LTINFO
005-051-28,005-051-32,,,,1,LTINFO
005-051-29,1318-03-210-004,,,,1,LTINFO
005-051-32,1318-03-210-007,,,,1,LTINFO
005-052-10,1318-03-210-026,,,,1,LTINFO
005-052-16,1318-03-212-010,,,,1,LTINFO
005-052-23,1318-03-212-017,,,,1,LTINFO
005-060-02,1318-03-000-008,,,,1,LTINFO
005-060-02,1318-03-000-009,,,,1,LTINFO
005-060-04,005-060-10,,,,1,LTINFO
005-060-04,1318-03-000-011,,,,1,LTINFO
005-060-04,1318-03-000-013,,,,1,LTINFO
005-060-10,1318-03-000-012,,,,1,LTINFO
005-070-01,1318-03-000-005,,,,1,LTINFO
005-081-01,1318-10-310-006,,,,1,LTINFO
005-081-02,1318-10-310-005,,,,1,LTINFO
005-081-04,005-081-07,,,,1,LTINFO
005-081-04,005-081-09,,,,1,LTINFO
005-081-04,1318-10-310-002,,,,1,LTINFO
005-081-07,1318-10-310-001,,,,1,LTINFO
005-081-09,1318-10-310-003,,,,1,LTINFO
005-082-01,1318-10-310-026,,,,1,LTINFO
005-082-08,1318-10-310-033,,,,1,LTINFO
005-082-09,1318-10-310-035,,,,1,LTINFO
005-082-13,1318-10-310-040,,,,1,LTINFO
005-082-19,1318-10-310-036,,,,1,LTINFO
005-083-09,1318-10-310-055,,,,1,LTINFO
005-083-15,1318-10-310-061,,,,1,LTINFO
005-084-06,1318-10-317-008,,,,1,LTINFO
005-090-01,1318-10-310-007,,,,1,LTINFO
005-090-02,1318-10-310-008,,,,1,LTINFO
005-090-04,1318-10-310-010,,,,1,LTINFO
005-090-09,1318-10-310-015,,,,1,LTINFO
005-090-11,005-090-25,,,,1,LTINFO
005-090-11,005-090-28,,,,1,LTINFO
005-090-23,1318-10-310-024,,,,1,LTINFO
005-090-25,1318-10-310-016,,,,1,LTINFO
005-090-28,1318-10-310-025,,,,1,LTINFO
005-100-01,1318-09-701-001,,,,1,LTINFO
005-100-02,1318-09-701-002,,,,1,LTINFO
005-111-02,1318-09-810-052,,,,1,LTINFO
005-111-05,1318-09-810-055,,,,1,LTINFO
005-112-02,1318-09-810-049,,,,1,LTINFO
005-113-02,1318-09-810-002,,,,1,LTINFO
005-113-04,1318-09-810-005,,,,1,LTINFO
005-113-05,1318-09-810-004,,,,1,LTINFO
005-113-09,1318-09-810-009,,,,1,LTINFO
005-113-11,1318-09-810-011,,,,1,LTINFO
005-113-12,1318-09-810-012,,,,1,LTINFO
005-113-13,1318-09-810-013,,,,1,LTINFO
005-114-02,1318-09-810-044,,,,1,LTINFO
005-114-14,1318-09-810-061,,,,1,LTINFO
005-114-15,1318-09-810-060,,,,1,LTINFO
005-115-13,1318-09-810-097,,,,1,LTINFO
005-121-04,1318-09-810-022,,,,1,LTINFO
005-122-08,1318-09-810-030,,,,1,LTINFO
005-122-18,005-122-24,,,,1,LTINFO
005-122-24,1318-09-810-071,,,,1,LTINFO
005-123-03,1318-09-810-085,,,,1,LTINFO
005-123-15,1318-09-812-006,,,,1,LTINFO
005-123-21,1318-09-812-015,,,,1,LTINFO
005-123-26,1318-09-812-012,,,,1,LTINFO
005-123-27,1318-09-812-011,,,,1,LTINFO
005-131-09,1318-10-312-026,,,,1,LTINFO
005-131-12,1318-10-312-029,,,,1,LTINFO
005-131-18,1318-10-312-035,,,,1,LTINFO
005-132-01,1318-10-301-001,,,,1,LTINFO
005-132-20,1318-10-312-019,,,,1,LTINFO
005-132-31,1318-10-313-004,,,,1,LTINFO
005-132-34,1318-10-313-001,,,,1,LTINFO
005-132-35,1318-10-312-006,,,,1,LTINFO
005-141-18,1318-10-314-005,,,,1,LTINFO
005-141-25,1318-10-314-012,,,,1,LTINFO
005-150-04,1318-10-311-003,,,,1,LTINFO
005-150-05,1318-10-311-004,,,,1,LTINFO
005-150-14,1318-10-301-002,,,,1,LTINFO
005-160-01,1318-10-315-007,,,,1,LTINFO
005-160-10,1318-10-412-008,,,,1,LTINFO
005-160-23,1318-10-412-011,,,,1,LTINFO
005-173-01,1318-09-811-003,,,,1,LTINFO
005-181-05,1318-10-417-029,,,,1,LTINFO
005-181-18,1318-10-417-016,,,,1,LTINFO
005-181-28,1318-10-417-006,,,,1,LTINFO
005-184-06,1318-10-416-003,,,,1,LTINFO
005-184-09,1318-10-416-011,,,,1,LTINFO
005-185-01,1318-10-416-062,,,,1,LTINFO
005-185-01,1318-15-102-002,,,,1,LTINFO
005-185-02,1318-10-416-062,,,,1,LTINFO
005-185-02,1318-15-102-002,,,,1,LTINFO
005-185-03,005-220-22,,,,1,LTINFO
005-191-09,1318-10-416-028,,,,1,LTINFO
005-191-11,1318-10-416-030,,,,1,LTINFO
005-191-17,1318-10-416-019,,,,1,LTINFO
005-192-06,1318-10-416-057,,,,1,LTINFO
005-192-08,1318-10-416-055,,,,1,LTINFO
005-193-30,1318-10-416-040,,,,1,LTINFO
005-202-03,1318-10-415-027,,,,1,LTINFO
005-211-52,1318-15-110-052,,,,1,LTINFO
005-220-00,005-220-02,,,,1,LTINFO
005-220-02,005-220-18,,,,1,LTINFO
005-220-03,005-220-16,,,,1,LTINFO
005-220-10,005-220-14,,,,1,LTINFO
005-220-14,1318-15-101-003,,,,1,LTINFO
005-220-16,1318-15-501-001,,,,1,LTINFO
005-220-17,1318-15-202-001,,,,1,LTINFO
005-220-17,1318-15-210-007,,,,1,LTINFO
005-220-18,005-220-21,,,,1,LTINFO
005-220-21,005-220-24,,,,1,LTINFO
005-220-22,1318-15-102-002,,,,1,LTINFO
005-220-22,1318-15-102-003,,,,1,LTINFO
005-220-24,1318-10-000-007,,,,1,LTINFO
005-220-25,1318-15-601-001,,,,1,LTINFO
005-241-09,1318-16-710-007,,,,1,LTINFO
005-241-17,1318-16-810-002,,,,1,LTINFO
005-241-21,1318-16-810-007,,,,1,LTINFO
005-241-38,1318-16-810-006,,,,1,LTINFO
005-242-23,1318-16-810-022,,,,1,LTINFO
005-242-42,1318-16-810-035,,,,1,LTINFO
005-242-43,1318-16-810-035,,,,1,LTINFO
005-242-55,1318-16-810-025,,,,1,LTINFO
005-242-56,1318-16-810-024,,,,1,LTINFO
005-250-14,1318-15-410-001,,,,1,LTINFO
005-250-18,1318-16-801-001,,,,1,LTINFO
005-250-20,1318-16-801-003,,,,1,LTINFO
005-290-06,005-290-14,,,,1,LTINFO
005-290-12,005-290-14,,,,1,LTINFO
005-290-12,005-290-15,,,,1,LTINFO
005-290-14,1318-15-802-005,,,,1,LTINFO
005-290-15,1318-15-802-003,,,,1,LTINFO
005-302-13,1318-15-311-012,,,,1,LTINFO
005-311-04,1318-15-711-029,,,,1,LTINFO
005-313-02,1318-15-611-043,,,,1,LTINFO
005-321-03,005-321-28,,,,1,LTINFO
005-321-24,1318-15-601-005,,,,1,LTINFO
005-321-28,1318-15-601-002,,,,1,LTINFO
005-331-08,1318-15-610-005,,,,1,LTINFO
005-333-09,1318-15-511-005,,,,1,LTINFO
005-341-09,1318-15-611-065,,,,1,LTINFO
005-341-14,1318-15-611-059,,,,1,LTINFO
005-343-10,1318-15-611-031,,,,1,LTINFO
005-344-05,1318-15-611-053,,,,1,LTINFO
005-350-05,1318-15-804-003,,,,1,LTINFO
005-350-06,1318-15-804-004,,,,1,LTINFO
007-020-07,1318-22-001-008,,,,1,LTINFO
007-040-03,1318-00-002-005,,,,1,LTINFO
007-040-09,007-040-14,,,,1,LTINFO
007-040-10,1318-00-002-006,,,,1,LTINFO
007-040-13,1318-27-002-006,,,,1,LTINFO
007-040-14,1318-27-001-007,,,,1,LTINFO
007-050-04,007-050-12,,,,1,LTINFO
007-050-05,1318-23-301-001,,,,1,LTINFO
007-050-09,1318-22-001-012,,,,1,LTINFO
