"Pool","Development Right","Jurisdiction","Balance Remaining","# of Trans","Comments","Active?"
"Pier Allocation - Additional Private Piers in El Dorado County, CA","Pier Allocation","Tahoe Regional Planning Agency (TRPA)","0","3","Under the Shoreline Plan adopted by the TRPA Governing Board on October 24, 2018, TRPA may permit a maximum of 28 additional private piers in the El Dorado quadrant per TRPA Code of Ordinances, section 84.4.4.D.  ","Yes"
"Pier Allocation - Additional Private Piers in Placer Co., CA","Pier Allocation","Tahoe Regional Planning Agency (TRPA)","0","26","Under the Shoreline Plan adopted by the TRPA Governing Board on October 24, 2018, TRPA may permit a maximum of 58 additional private piers in the Placer quadrant per TRPA Code of Ordinances, section 84.4.4.D.  ","Yes"
"Pier Allocation - Additional Private Piers in Washoe Co., NV","Pier Allocation","Tahoe Regional Planning Agency (TRPA)","0","8","Under the Shoreline Plan adopted by the TRPA Governing Board on October 24, 2018, TRPA may permit a maximum of 21 additional private piers in the Washoe quadrant per TRPA Code of Ordinances, section 84.4.4.D.  ","Yes"
"Pier Allocation - Additional Public Piers","Pier Allocation","Tahoe Regional Planning Agency (TRPA)","0","0","Under the Shoreline Plan adopted by the TRPA Governing Board on October 24, 2018, TRPA may permit a maximum of 10 additional public piers per TRPA Code of Ordinances, section 84.4.4.","Yes"
"Residential Allocation - City of South Lake Tahoe","Residential Allocation","City of South Lake Tahoe (CSLT)","0","222","For information about the City of South Lake Tahoe Residential Allocation program, visit: https://www.cityofslt.us/152/Residential-Allocation-Waiting-Lists","Yes"
"Residential Allocation - CSLT - Multi-Family Pool","Residential Allocation","City of South Lake Tahoe (CSLT)","52","9","City of South Lake Tahoe Resolution Number 2018-46 (https://cityofslt.us/DocumentCenter/View/12081) adopted by the City Council specifies the policy and procedures for the distribution of allocations. 
Beginning with the 2021/2022 allocations release, TRPA will distribute Residential Allocations into separate pools for Single-Family, Multi-Family, and Town Centers, per instructions from the City.
","Yes"
"Residential Allocation - CSLT - Single-Family Pool","Residential Allocation","City of South Lake Tahoe (CSLT)","83","65","City of South Lake Tahoe Resolution Number 2018-46 (https://cityofslt.us/DocumentCenter/View/12081) adopted by the City Council specifies the policy and procedures for the distribution of allocations. 
Beginning with the 2021/2022 allocations release, TRPA will distribute Residential Allocations into separate pools for Single-Family, Multi-Family, and Town Centers, per instructions from the City.","Yes"
"Residential Allocation - CSLT - Town Center Pool","Residential Allocation","City of South Lake Tahoe (CSLT)","51","8","City of South Lake Tahoe Resolution Number 2018-46 (https://cityofslt.us/DocumentCenter/View/12081) adopted by the City Council specifies the policy and procedures for the distribution of allocations. 
Beginning with the 2021/2022 allocations release, TRPA will distribute Residential Allocations into separate pools for Single-Family, Multi-Family, and Town Centers, per instructions from the City.
","Yes"
"Residential Allocation - Douglas County","Residential Allocation","Douglas County, NV (DGCO)","93","81","","Yes"
"Residential Allocation - El Dorado County","Residential Allocation","El Dorado County, CA (ELDO)","98","447","El Dorado County information on Residential Allocation Disbursement Programs:  https://www.edcgov.us/Government/building/Documents/Allocation%20Program%20SOP%20%28Feb%202021%29.pdf

Applications for El Dorado County allocations are available at https://www.edcgov.us/Government/building/Pages/lake_tahoe_basin_allocation_process.aspx

","Yes"
"Residential Allocation - Placer County","Residential Allocation","Placer County, CA (PLCO)","349","206","","Yes"
"Residential Allocation - TRPA Pool","Residential Allocation","Tahoe Regional Planning Agency (TRPA)","144","20","When processing transactions out of this pool, use the ""Allocation Assignment"" transaction type even though the transaction may not be a TRPA Allocation Assignment permit/application. Some allocations can be granted from this pool for transfer incentives.","Yes"
"Residential Allocation - Washoe County","Residential Allocation","Washoe County, NV (WACO)","135","61","","Yes"
"Residential Bonus Unit (RBU) - Bijou/Al Tahoe Community Plan","Residential Bonus Unit (RBU)","City of South Lake Tahoe (CSLT)","0","2","Must be used for Affordable for now (Moderate/Achievable/Market only after those run out and only if there are enough Affordable left in the pools).","Yes"
"Residential Bonus Unit (RBU) - Greater Tahoe City Mixed Use Subdistrict","Residential Bonus Unit (RBU)","Placer County, CA (PLCO)","12","1","This pool was formerly called ""Tahoe City Community Plan"" but was renamed in 2018 to align with the new Placer County Area Plan. Must be used for Affordable for now (Moderate/Achievable/Market only after those run out and only if there are enough Affordable left in the pools).","Yes"
