Row Labels,CY2012,CY2013,CY2014,CY2015,CY2016,CY2017,CY2018,CY2019,CY2020,CY2021,CY2022,CY2023,CY2024,CY2025
023-362-24,6675,6675,6675,6675,6675,6675,,,,,,,,
023-374-008,,,,,,,1408,1408,1408,1408,1408,1408,1408,1408
023-374-02,6982,6982,6982,6982,6982,0,,,,,,,,
023-374-002,,,,,,,0,0,0,0,0,0,0,0
023-374-08,1408,1408,1408,1408,1408,1408,,,,,,,,
023-391-005,,,,,,,3887,3887,3887,3887,3887,3887,3887,3887
023-391-05,3887,3887,3887,3887,3887,3887,,,,,,,,
023-392-012,,,,,,,1653,1653,1653,1653,1653,1653,1653,1653
023-392-013,,,,,,,287,287,287,287,287,287,287,287
023-392-018,,,,,,,2121,2121,2121,2121,2121,2121,2121,2121
023-392-019,,,,,,,1207,1207,1207,1207,1207,1207,1207,1207
023-392-03,21180,21180,21180,21180,21180,0,,,,,,,,
023-392-003,,,,,,,0,0,0,0,0,0,0,0
023-392-046,,,,,,,2036,2036,2036,2036,2036,2036,2036,2036
023-392-047,,,,,,,0,0,0,0,0,0,0,0
023-392-12,1653,1653,1653,1653,1653,1653,,,,,,,,
023-392-13,287,287,287,287,287,287,,,,,,,,
023-392-18,2121,2121,2121,2121,2121,2121,,,,,,,,
023-392-19,1207,1207,1207,1207,1207,1207,,,,,,,,
023-392-46,2036,2036,2036,2036,2036,2036,,,,,,,,
023-392-47,3800,3800,3800,3800,3800,0,,,,,,,,
023-393-003,,,,,,,0,0,0,0,0,0,0,0
023-393-027,,,,,,,0,0,0,0,0,0,0,0
023-393-028,,,,,,,0,0,0,0,0,0,0,0
023-393-03,8851,8851,8851,8851,8851,0,,,,,,,,
023-393-27,4684,4684,4684,4684,4684,0,,,,,,,,
023-393-28,4728,4728,4728,4728,4728,0,,,,,,,,
023-411-024,,,,,,,2134,2134,2134,2134,2134,2134,2134,2134
023-411-24,2134,2134,2134,2134,2134,2134,,,,,,,,
023-421-001,,,,,,,30888,30888,30888,30888,30888,30888,30888,30888
023-421-01,30888,30888,30888,30888,30888,30888,,,,,,,,
023-430-029,,,,,,,4491,4491,4491,4491,4491,4491,4491,4491
023-430-030,,,,,,,10793,10793,10793,10793,10793,10793,10793,10793
023-430-032,,,,,,,151508,151508,151508,151508,151508,151508,151508,151508
023-430-036,,,,,,,19373,19373,19373,19373,19373,19373,19373,19373
023-430-038,,,,,,,6328,6328,6328,6328,6328,,,
023-430-041,,,,,,,1625,1625,1625,1625,1625,1625,1625,1625
023-430-043,,,,,,,,,,,,6328,6328,6328
023-430-29,4491,4491,4491,4491,4491,4491,,,,,,,,
023-430-30,10793,10793,10793,10793,10793,10793,,,,,,,,
023-430-32,151508,151508,151508,151508,151508,151508,,,,,,,,
023-430-36,19373,19373,19373,19373,19373,19373,,,,,,,,
023-430-38,6328,6328,6328,6328,6328,6328,,,,,,,,
023-430-41,1625,1625,1625,1625,1625,1625,,,,,,,,
023-522-006,,,,,,,3780,3780,3780,3780,3780,3780,3780,3780
023-522-012,,,,,,,5639,5639,5639,5639,5639,5639,5639,5639
023-522-014,,,,,,,1258,1258,1258,1258,1258,1258,1258,1258
023-522-06,3780,3780,3780,3780,3780,3780,,,,,,,,
