APN,Year,Tourist_Units,CommercialFloorArea_SqFt
023-231-017,2024,0,7051.0
023-231-018,2018,0,4306.0
023-231-018,2019,0,4306.0
023-231-018,2020,0,4306.0
023-231-018,2021,0,4306.0
023-231-018,2022,0,4306.0
023-231-018,2023,0,4306.0
023-231-018,2024,0,4306.0
023-231-019,2018,0,3760.0
023-231-019,2019,0,3760.0
023-231-019,2020,0,3760.0
023-231-019,2021,0,3760.0
023-231-019,2022,0,3760.0
023-231-019,2023,0,3760.0
023-231-019,2024,0,3760.0
023-231-025,2018,0,59440.0
023-231-025,2019,0,59440.0
023-231-025,2020,0,59440.0
023-231-025,2021,0,59440.0
023-231-025,2022,0,59440.0
023-231-025,2023,0,59440.0
023-231-025,2024,0,59440.0
023-231-04,2012,0,15318.0
023-231-06,2012,0,5568.0
023-231-11,2012,0,1469.0
023-231-17,2012,0,7051.0
023-231-18,2012,0,4306.0
023-231-19,2012,0,3760.0
023-231-25,2012,0,59440.0
023-241-011,2018,0,4372.0
023-241-011,2019,0,4372.0
023-241-011,2020,0,4372.0
023-241-011,2021,0,4372.0
023-241-011,2022,0,4372.0
023-241-011,2023,0,4372.0
023-241-011,2024,0,4372.0
023-241-015,2018,0,13681.0
023-241-015,2019,0,13681.0
023-241-015,2020,0,13681.0
023-241-015,2021,0,13681.0
023-241-015,2022,0,13681.0
023-241-015,2023,0,13681.0
023-241-015,2024,0,13681.0
023-241-022,2018,0,1600.0
023-241-022,2019,0,1600.0
023-241-022,2020,0,1600.0
023-241-022,2021,0,1600.0
023-241-022,2022,0,1600.0
023-241-022,2023,0,1600.0
023-241-022,2024,0,1600.0
023-241-040,2018,0,1241.0
023-241-040,2019,0,1241.0
023-241-040,2020,0,1241.0
023-241-040,2021,0,1241.0
023-241-040,2022,0,1241.0
023-241-040,2023,0,1241.0
023-241-040,2024,0,1241.0
023-241-052,2018,0,2652.0
023-241-052,2019,0,2652.0
023-241-052,2020,0,2652.0
023-241-052,2021,0,2652.0
023-241-052,2022,0,2652.0
023-241-052,2023,0,2652.0
023-241-052,2024,0,2652.0
023-241-053,2018,0,3301.0
023-241-053,2019,0,3301.0
023-241-053,2020,0,3301.0
023-241-053,2021,0,3301.0
023-241-053,2022,0,3301.0
023-241-053,2023,0,3301.0
023-241-053,2024,0,3301.0
023-241-054,2018,0,4443.0
023-241-054,2019,0,4443.0
023-241-054,2020,0,4443.0
023-241-054,2021,0,4443.0
023-241-054,2022,0,4443.0
023-241-054,2023,0,4443.0
023-241-054,2024,0,4443.0
023-241-056,2018,0,1887.0
023-241-056,2019,0,1887.0
023-241-056,2020,0,1887.0
023-241-056,2021,0,1887.0
023-241-056,2022,0,1887.0
023-241-056,2023,0,1887.0
023-241-056,2024,0,1887.0
023-241-11,2012,0,4372.0
023-241-15,2012,0,13681.0
023-241-22,2012,0,1600.0
023-241-23,2012,0,1641.0
023-241-40,2012,0,1241.0
